,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1322,3,8,3,2001,8.0,68628,67.0,37.1,2056762.0,1560036.0,496791.0,37.26,0.45
1324,1,1,3,1970,16.0,95700,28.0,45.6,3672931.0,2663131.0,1009910.0,72.2,0.63
1325,4,17,3,1909,5.0,48600,100.0,22.7,1544117.0,1462897.0,81281.0,14.51,0.17
1329,3,8,3,1995,5.0,63861,41.0,63.0,4024810.0,1991466.0,2033427.0,121.88,1.77
1331,4,17,6,2000,3.0,50499,17.0,82.0,3030041.0,3026728.0,3438.0,21.28,0.16
1332,4,17,6,1964,5.0,54465,68.0,64.2,3721129.0,3218088.0,503174.0,49.16,0.65
1333,4,4,4,1930,2.0,45960,58.0,88.7,4075193.0,884550.0,3190679.0,175.62,3.74
1334,2,6,6,1974,4.0,37361,95.0,21.3,694479.0,694507.0,0.0,4.84,0.05
1335,2,6,4,1949,3.0,21112,98.0,36.0,760008.0,209457.0,550560.0,30.7,1.41
1336,2,6,8,1987,3.0,22646,56.0,29.5,666930.0,666957.0,0.0,4.65,0.08
1337,4,17,6,1959,2.0,21128,85.0,32.4,684865.0,684893.0,0.0,4.77,0.09
1338,3,8,6,2010,6.0,191832,93.0,43.2,6609358.0,3163586.0,3445903.0,205.07,1.0
1341,4,3,6,1959,4.0,38520,45.0,61.3,2361960.0,1599579.0,762448.0,51.64,1.16
1342,4,3,6,1961,3.0,29186,91.0,50.9,967697.0,400833.0,566880.0,32.9,1.07
1344,4,19,6,1960,1.0,27338,65.0,19.2,526059.0,526081.0,0.0,3.67,0.05
1345,3,8,6,2005,6.0,79480,94.0,30.2,1965855.0,982698.0,983197.0,59.07,0.69
1348,4,17,7,1930,3.0,45864,89.0,66.4,3043767.0,565638.0,2478153.0,135.56,2.9
1349,2,6,7,1985,4.0,22984,61.0,25.2,633408.0,633434.0,0.0,4.42,0.07
1350,2,6,8,1985,3.0,72459,84.0,33.7,2236167.0,2236260.0,0.0,15.59,0.08
1351,4,4,10,1999,2.0,49252,7.0,63.6,3886929.0,2453607.0,1433424.0,93.23,1.68
1352,2,6,12,1975,4.0,33948,100.0,7.1,172360.0,172367.0,0.0,1.2,0.01
1354,2,6,8,1989,4.0,51510,87.0,22.8,1172785.0,1172834.0,0.0,8.18,0.06
1356,2,16,8,1962,4.0,89391,59.0,56.7,5197990.0,3706299.0,1491844.0,105.07,1.0
1357,2,6,8,1978,4.0,51387,82.0,21.7,1170395.0,1170443.0,0.0,8.16,0.06
1361,3,8,6,2005,6.0,106524,87.0,27.1,2890253.0,2848622.0,41749.0,22.08,0.09
1362,4,17,6,1987,3.0,33176,89.0,43.1,1429196.0,851414.0,577817.0,36.62,0.99
1365,2,6,2,1980,3.0,31288,81.0,27.4,671079.0,671107.0,0.0,4.68,0.06
1366,3,8,9,2008,6.0,50803,55.0,45.2,1758581.0,1757990.0,663.0,12.29,0.09
1367,6,4,11,2000,2.0,75605,83.0,29.1,2199689.0,1598455.0,601300.0,43.08,0.48
1368,6,4,11,2008,2.0,29525,55.0,57.2,1688739.0,1161087.0,527700.0,36.12,1.05
1369,2,6,11,1962,3.0,30891,61.0,29.0,896485.0,896523.0,0.0,6.25,0.08
